HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,SIDE,LAKE,ENDO,COAST,ORDER_,SORT,WS_ID,precip_mn,PET_mn,AET_mn,wyield_mn,wyield_vol,consum_vol,consum_mn,rsupply_vl,rsupply_mn
"4120958730","4121518640","4120026610","4120026610",412.3,412.3,135.2,3112.5,"453120933100",M,"0","0","0","1","95443","95442",1375.65992647059,1355.36465992647,1162.28710937500,213.37274528952,34387781.36341612041,30600.00000000000,1800.00000000000,34357181.36341612041,-1586.62725471048
"4121520140","4120966280","4120026661","4120026661",232.8,232.8,192.9,192.9,"453145080200",M,"0","0","0","2","95660","95659",1375.66001674107,285.04999651228,246.61889648438,1129.04108537946,259065476.68759658933,5400.00000000000,385.71428571429,259060076.68759658933,743.32679966517
"4120963530","4120963930","4120026661","4120026661",255.3,255.3,137.8,568.2,"453146020100",M,"0","0","0","3","95674","95673",1375.65993514151,534.99808372642,459.31378979953,916.34610849057,150268508.31736078858,71600.00000000000,675.47169811321,150196908.31736078858,240.87441037736
"4120963431","4120963930","4120026661","4120026661",255.5,255.5,54.6,6491.7,"453146031100",L,"0","0","0","2","95675","95674",1375.65994162088,0.00000000000,0.00000000000,1375.65994162088,89322004.15660156310,0.00000000000,0.00000000000,,
"4120963432","4120963431","4120026661","4120026661",255.5,255.5,40.6,6491.7,"453146031100",R,"0","0","0","2","95676","95675",1375.65964033019,76.55094708137,65.71487599499,1309.94501768868,63226584.39617446810,5400.00000000000,101.88679245283,63221184.39617446810,1208.05822523585
"4129025211","4120963432","4120026661","4120026661",255.5,255.5,72.0,6491.7,"453146031100",L,"2","0","0","2","95677","95676",1375.65999002660,80.64893617021,69.97932596410,1305.68068484043,111991239.37460093200,35800.00000000000,95.21276595745,111955439.37460093200,1210.46791888298
"4121518581","4129025211","4120026661","4120026661",269.6,269.6,117.0,6388.4,"453146031200",L,"0","0","0","2","95690","95689",1375.65993632708,1160.62164879357,1003.36452747989,372.29536695710,51937865.50843633711,524200.00000000000,1405.36193029491,51413665.50843633711,-1033.06656333781
"4121518582","4121518581","4120026661","4120026661",269.6,269.6,32.4,6388.4,"453146031200",R,"0","0","0","2","95691","95690",1375.66006324405,1149.21540178571,992.76395089286,382.89590308780,14764330.69370422885,236600.00000000000,1408.33333333333,14527730.69370422885,-1025.43743024553
"4121517891","4129025211","4120026661","4120026661",280.8,280.8,88.5,6183.2,"453146031300",L,"0","0","0","2","95704","95703",1375.65987723214,1249.09988839286,1075.01492745536,300.64488002232,31755256.74680206925,46000.00000000000,1642.85714285714,31709256.74680206925,-1342.21226283482
"4121517892","4121517891","4120026661","4120026661",280.8,280.8,61.6,6183.2,"453146031300",R,"0","0","0","2","95705","95704",1375.65999348958,881.30004882813,763.41389973958,612.24597167969,44935135.28134347498,12800.00000000000,1066.66666666667,44922335.28134347498,-454.42069498698
