HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,SIDE,LAKE,ENDO,COAST,ORDER_,SORT,WS_ID,precip_mn,PET_mn,AET_mn,wyield_mn,wyield_vol,consum_vol,consum_mn,rsupply_vl,rsupply_mn
"4121530212","4121530211","4120026821","4120026821",293.5,293.5,170.7,6133.5,"453160501300",R,"0","0","0","1","96005","96004",1375.65999190939,1343.92677993528,1156.56553398058,219.09430622977,43932316.04177678376,500600.00000000000,1620.06472491909,43431716.04177678376,-1400.97041868932
"4120983761","4121530212","4120026821","4120026821",299.7,299.7,69.0,5771.2,"453160503000",L,"0","0","0","1","96008","96007",1375.65991784038,1240.98342136150,1073.63262910798,302.02721537559,24515191.03230256587,618400.00000000000,1451.64319248826,23896791.03230256587,-1149.61597711267
"4120983762","4120983761","4120026821","4120026821",299.7,299.7,14.1,5771.2,"453160503000",R,"0","0","0","1","96009","96008",1375.65990901899,1232.19165348101,1066.85096914557,308.80896459652,5130901.08648856357,206200.00000000000,1305.06329113924,4924701.08648856357,-996.25432654272
"4129054321","4120983762","4120026821","4120026821",299.7,299.7,35.5,5771.2,"453160503000",L,"2","0","0","1","96010","96009",1375.65989077670,182.17767748786,160.18002882282,1215.47997572816,50816879.89723271132,51800.00000000000,125.72815533981,50765079.89723271132,1089.75182038835
"4120984010","4121530212","4120026821","4120026821",299.9,299.9,186.0,186.2,"453160502000",M,"0","0","0","2","96011","96010",1375.65983796296,1334.88287037037,1152.31944444444,223.34056712963,48844008.67269124836,201600.00000000000,1493.33333333333,48642408.67269124836,-1269.99276620370
"4120982051","4129054321","4120026821","4120026821",308.4,308.4,88.0,190.9,"453160504000",L,"0","0","0","2","96014","96013",1375.65986180905,1334.55888819095,1147.37923994975,228.28056297111,23647559.69122538716,329000.00000000000,1653.26633165829,23318559.69122538716,-1424.98576868718
"4120982052","4120982051","4120026821","4120026821",308.4,308.4,100.3,190.9,"453160504000",R,"0","0","0","2","96015","96014",1375.65993071594,1339.52627020785,1147.34281177829,228.31711893764,26989554.56022188067,738200.00000000000,1704.84988452656,26251354.56022188067,-1476.53276558892
"4120981941","4129054321","4120026821","4120026821",309.0,309.0,43.4,1460.0,"453160601100",L,"0","0","0","2","96016","96015",1375.65999034749,1324.46283783784,1137.14116795367,238.51874698359,12194178.85913612880,420400.00000000000,1623.16602316602,11773778.85913612880,-1384.64727618243
"4120981942","4120981941","4120026821","4120026821",309.0,309.0,71.3,1460.0,"453160601100",R,"0","0","0","2","96017","96016",1375.65997191011,1334.66783707865,1147.67155898876,227.98830758427,19106355.19208544865,743400.00000000000,1670.56179775281,18362955.19208544865,-1442.57349016854
"4120981801","4129054321","4120026821","4120026821",309.2,309.2,60.5,4015.8,"453160700100",L,"0","0","0","1","96018","96017",1375.65998727735,1304.63279262087,1119.23775445293,256.42213342875,18264278.77784533054,637400.00000000000,1621.88295165394,17626878.77784533054,-1365.46081822519
"4120981802","4120981801","4120026821","4120026821",309.2,309.2,90.0,4015.8,"453160700100",R,"0","0","0","1","96019","96018",1375.66001254181,1327.83110367893,1138.28929765886,237.37066262542,25171985.65529499575,477400.00000000000,1596.65551839465,24694585.65529499575,-1359.28485576923
