HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,SIDE,LAKE,ENDO,COAST,ORDER_,SORT,WS_ID,precip_mn,PET_mn,AET_mn,wyield_mn,wyield_vol,consum_vol,consum_mn,rsupply_vl,rsupply_mn
"4120952880","4120955902","4120026610","4120026610",408.2,408.2,93.7,880.1,"453120646100",M,"0","0","0","4","95439","95438",1199.41001674107,1285.80008370536,1054.39557756696,145.01441301618,16246296.72827519104,7000.00000000000,1000.00000000000,16239296.72827519104,-854.98558698382
"4120952701","4120955902","4120026610","4120026610",408.2,408.2,34.4,1915.6,"453120647100",L,"0","0","0","3","95440","95439",1199.40970982143,1262.74285714286,1036.75212053571,162.65785435268,6691911.36696049664,89600.00000000000,1280.00000000000,6602311.36696049664,-1117.34214564732
"4120952702","4120952701","4120026610","4120026610",408.2,408.2,24.7,1915.6,"453120647100",R,"0","0","0","3","95441","95440",1199.41007965686,1235.49808517157,1021.49103860294,177.91884957108,5245815.54198370967,53000.00000000000,1039.21568627451,5192815.54198370967,-861.29683670343
"4129030751","4120952702","4120026610","4120026610",408.2,408.2,60.3,1915.6,"453120647100",L,"2","0","0","3","95442","95441",1199.41000405844,91.50941051136,75.09963474026,1124.31036931818,81169272.55447663367,34800.00000000000,112.98701298701,81134472.55447663367,1011.32335633117
"4120953240","4120952880","4120026610","4120026610",419.2,419.2,130.4,405.3,"453120646210",M,"0","0","0","5","95451","95450",1199.41005859375,1287.65000000000,1055.03662109375,144.37343750000,22506622.23934171349,10000.00000000000,1000.00000000000,22496622.23934171349,-855.62656250000
"4120950401","4129030751","4120026610","4120026610",420.6,420.6,12.3,1716.3,"453120647300",L,"0","0","0","3","95453","95452",1199.40999571918,1168.59728167808,946.82737585616,252.58272688356,3728529.31929844897,116200.00000000000,1591.78082191781,3612329.31929844897,-1339.19809503425
"4120950402","4120950401","4120026610","4120026610",420.6,420.6,47.9,1716.3,"453120647300",R,"0","0","0","3","95454","95453",1199.40991071429,1270.20053571429,1034.79285714286,164.61699776786,9443672.52447152883,211400.00000000000,1208.00000000000,9232272.52447152883,-1043.38300223214
"4120950411","4129030751","4120026610","4120026610",420.6,420.6,84.3,128.2,"453120647200",L,"0","0","0","4","95455","95454",1199.40983455882,1183.47757352941,968.77306985294,230.63699448529,23307827.77142586932,112400.00000000000,1322.35294117647,23195427.77142586932,-1091.71594669118
"4120950412","4120950411","4120026610","4120026610",420.6,420.6,30.2,128.2,"453120647200",R,"0","0","0","4","95456","95455",1199.40979287791,1052.38499273256,852.95893895349,346.45108103198,12527970.68399002403,121000.00000000000,1406.97674418605,12406970.68399002403,-1060.52566315407
"4120948181","4129030751","4120026610","4120026610",431.1,431.1,47.8,126.5,"453120647400",L,"0","0","0","4","95464","95463",1199.41005859375,263.61999511719,213.04038085938,986.36972656250,56541942.60322910547,1800.00000000000,360.00000000000,56540142.60322910547,626.36972656250
"4120948182","4120948181","4120026610","4120026610",431.1,431.1,76.5,126.5,"453120647400",R,"0","0","0","4","95465","95464",1199.41007486979,659.04996744792,532.60095214844,666.80908203125,61142372.25906167924,5400.00000000000,900.00000000000,61136972.25906167924,-233.19091796875
"4120948061","4129030751","4120026610","4120026610",431.3,431.3,137.0,1502.1,"453120647500",L,"0","0","0","3","95466","95465",1199.41002155172,1273.32408405172,1028.68500808190,170.72499663254,28066559.06667773053,50400.00000000000,1737.93103448276,28016159.06667773053,-1567.20603785022
"4120948062","4120948061","4120026610","4120026610",431.3,431.3,54.9,1502.1,"453120647500",R,"0","0","0","3","95467","95466",1199.41001674107,188.29999651228,152.17170061384,1047.23842075893,69002296.04129458964,1800.00000000000,257.14285714286,69000496.04129458964,790.09556361607
